duration,pkt_count,byte_count,src2dst_pkts,dst2src_pkts,mean_pkt_size,tcp_syn,tcp_rst,label
285.1,1501,7130031,817,1481,1111.49,0,2,normal
293.12,4122,7125887,2254,1699,1301.16,0,2,normal
29.07,4910,6649155,1542,2018,719.08,1,3,normal
146.53,542,8123519,158,542,1476.84,1,4,normal
75.56,1858,8817242,147,482,651.59,1,3,normal
153.91,2259,9511864,1537,2074,734.35,0,5,normal
60.31,3569,41604,277,1142,993.02,0,3,normal
217.59,401,8102165,1866,2119,1004.26,0,0,normal
203.5,544,5908949,1257,1051,575.4,0,4,normal
96.2,2579,3129148,125,982,518.96,0,1,normal
225.83,2574,5124193,917,1484,1093.46,0,5,normal
53.52,1264,5568480,1509,1403,525.8,1,4,normal
153.14,2280,4740446,1127,1868,628.5,0,3,normal
24.02,1164,4140796,1345,963,1463.49,1,0,normal
243.64,495,4953835,2414,2482,1460.31,1,5,normal
170.5,948,2103870,1736,232,1224.12,1,1,normal
111.95,220,3626362,394,567,1320.5,0,4,normal
171.13,1095,8296053,1026,2292,1052.8,0,3,normal
91.94,4885,954740,2136,380,735.1,0,0,normal
87.34,4413,5032370,2274,1989,1423.46,0,5,normal
162.17,3713,1502561,1899,1551,1414.77,0,3,normal
242.39,2363,8340816,1717,1919,1223.24,1,1,normal
66.07,1732,1739618,1074,1344,542.99,1,5,normal
214.13,441,4291060,1127,104,989.9,1,2,normal
67.91,2117,761606,416,1561,798.01,0,0,normal
145.03,1484,9139444,1178,2271,1142.12,1,3,normal
148.19,4234,9275084,1241,682,1325.4,1,1,normal
189.58,1266,6346841,2302,709,729.0,0,2,normal
98.57,1374,5270331,549,1510,685.24,1,5,normal
266.7,3983,1412643,2377,378,715.15,1,1,normal
80.3,1900,6883375,2487,986,1234.05,1,4,normal
149.05,2089,1019102,1206,2470,671.14,0,2,normal
194.66,2350,2121396,369,563,857.17,0,0,normal
95.93,2208,5092348,1912,1548,504.17,1,5,normal
180.12,2220,6054303,1802,35,1273.52,1,5,normal
17.77,3333,8236141,895,2292,510.48,0,5,normal
265.67,2516,3070866,2268,84,1497.02,0,1,normal
46.24,4871,1581827,202,2271,1061.3,0,4,normal
276.91,1801,8338115,605,480,1076.08,1,0,normal
210.79,4734,7332970,1157,1121,553.96,1,0,normal
191.66,744,2209247,1391,1447,904.41,1,0,normal
127.28,894,4782514,816,847,1426.54,1,4,normal
2.84,1173,8521628,1369,50,1382.78,1,4,normal
244.68,1691,725469,859,520,1355.53,0,1,normal
59.52,1372,4160636,673,2186,1004.2,1,4,normal
71.59,1841,2720813,875,491,636.53,0,5,normal
7.29,1657,181128,2229,897,819.51,1,2,normal
110.58,1075,8203317,1052,2391,809.85,1,3,normal
159.37,342,714189,1880,2416,1192.61,1,3,normal
299.66,3603,5266485,730,941,1016.8,1,1,normal
48.3,2136,4069872,520,1903,575.05,0,5,normal
280.29,4552,193515,1327,1917,838.91,1,3,normal
205.16,2866,8612539,368,1675,693.25,0,5,normal
67.13,4008,3965861,1158,1369,1420.54,1,1,normal
273.67,307,9842001,1365,1209,1418.18,1,4,normal
168.03,1995,5151112,1627,863,929.7,1,3,normal
85.74,4376,1577957,2125,512,838.03,0,5,normal
164.55,2245,3701502,506,652,1406.71,1,5,normal
217.84,456,242327,836,1626,514.49,0,1,normal
50.21,2029,5792691,158,1584,1491.12,0,0,normal
68.36,3909,5523496,1413,1714,976.3,0,0,normal
43.67,1459,9171237,1601,1118,528.09,0,5,normal
118.38,4126,5442859,2192,724,600.78,1,3,normal
162.85,1720,984113,1906,1121,503.1,1,4,normal
180.83,3555,3212836,849,924,994.8,1,5,normal
245.73,1606,6845562,97,2491,1215.72,1,2,normal
134.55,161,5301164,2494,621,625.72,1,5,normal
26.79,4060,7273814,1807,244,601.64,0,2,normal
140.82,4253,326702,628,1030,1441.43,1,2,normal
86.38,548,2160734,2036,691,983.29,1,1,normal
284.2,4608,7112701,1318,173,669.32,0,1,normal
269.34,3139,4793534,1769,1650,747.98,1,0,normal
68.38,4069,1998074,792,711,1138.02,1,0,normal
178.79,4942,854900,1540,712,1292.93,0,1,normal
240.62,2808,2820880,1864,872,1199.24,1,0,normal
83.34,3561,4733548,1509,1784,985.2,0,4,normal
246.81,2871,2367713,1521,1976,734.0,1,0,normal
205.6,3021,581393,1507,522,774.02,0,5,normal
176.97,240,2520764,612,1143,1303.77,1,3,normal
298.54,3625,2165336,1490,1171,1189.96,0,2,normal
287.45,4826,2719037,1021,926,531.89,1,1,normal
61.92,2251,6548779,1610,2499,1461.11,0,3,normal
272.78,849,8313049,109,2053,714.97,1,0,normal
210.2,2728,236648,1322,1614,586.84,0,3,normal
152.35,2326,4191545,1040,1350,717.87,1,5,normal
73.77,850,6009701,1768,133,1015.89,0,4,normal
139.67,4763,7256394,2214,1827,801.14,1,4,normal
150.73,1776,3802722,1160,762,583.66,1,5,normal
46.38,2587,932607,1306,1407,1202.34,1,3,normal
24.34,3489,9597575,912,1438,900.79,1,5,normal
14.68,1045,8705339,1857,981,1046.46,0,1,normal
27.47,3098,3532340,2362,1797,1403.65,0,0,normal
49.83,2270,9636022,1429,528,825.51,1,2,normal
288.09,1335,5197222,384,2030,1019.49,1,5,normal
106.09,2204,5252732,565,1580,616.09,0,0,normal
13.07,2074,9050324,1261,1460,549.68,1,0,normal
297.42,1640,5068069,1164,685,694.76,0,3,normal
47.71,1504,7960883,2253,2026,1322.35,0,0,normal
171.77,4684,907522,351,1001,926.19,1,0,normal
108.65,3889,5128146,536,1865,1238.18,0,3,normal
244.15,3371,9774113,1907,2191,1408.73,0,0,normal
294.7,448,5592962,259,2363,837.9,1,1,normal
24.49,4986,8717053,2109,1451,579.68,0,3,normal
32.3,1537,7615074,2401,1889,1089.47,1,2,normal
123.52,1011,9555105,134,2445,551.47,0,2,normal
208.12,3411,3854513,1553,1896,674.89,0,5,normal
130.49,278,9335958,617,1171,1263.56,0,5,normal
78.96,2813,3475555,1031,1544,938.21,0,2,normal
234.22,4824,4957979,2066,200,1484.39,0,5,normal
118.37,1202,9761590,1952,1091,1330.29,1,5,normal
143.31,2379,9124840,1315,2398,1047.92,1,3,normal
275.11,2850,9432139,949,241,936.82,0,0,normal
236.27,3128,4533607,2152,98,856.4,0,1,normal
284.6,1777,8944977,494,496,675.66,1,3,normal
229.25,4496,3992018,102,1591,1265.7,1,2,normal
293.42,2535,3007751,2320,232,1282.55,1,4,normal
62.7,648,4093374,2373,998,962.08,1,1,normal
8.56,2134,1909857,890,2102,558.59,1,1,normal
239.54,609,779256,1672,1152,648.93,1,3,normal
226.27,2497,6879307,2036,791,1478.47,1,3,normal
295.49,4452,7699789,1257,1691,1433.8,0,2,normal
290.05,1984,3162917,2090,986,1255.13,1,0,normal
27.01,2620,6688243,1517,2048,973.01,1,4,normal
266.94,2927,8516609,568,950,1350.63,1,5,normal
170.31,1308,6981135,2192,338,1054.63,1,0,normal
205.79,2551,4715820,1614,212,969.71,0,4,normal
66.56,2251,543319,1913,1878,1412.19,1,4,normal
271.92,1597,404332,1916,1553,880.73,0,3,normal
31.97,73,4308718,235,133,1220.91,1,4,normal
208.07,4633,8500101,2277,336,1187.76,0,0,normal
197.61,832,2758678,1338,170,957.11,0,4,normal
278.01,1007,4853537,2249,1018,1184.36,0,1,normal
58.73,2669,2977250,1945,1807,1185.9,0,3,normal
240.77,475,618876,985,1354,979.59,0,5,normal
144.13,4765,6092444,1809,1151,1399.37,0,3,normal
1.46,1428,4053170,918,1943,1023.74,1,2,normal
69.96,2678,2018606,1328,381,1186.96,1,0,normal
137.41,209,1387642,1458,740,1096.36,0,5,normal
212.07,3187,6849188,1561,704,953.44,0,3,normal
224.56,3314,9432167,854,844,1454.39,1,4,normal
148.83,1334,7096954,1592,2303,560.84,1,0,normal
289.86,1408,1870873,2016,1394,609.12,1,2,normal
291.44,1519,1462917,695,1113,1294.94,0,1,normal
3.7,4469,4686733,1522,125,744.64,1,0,normal
63.86,2045,5969255,457,1339,1030.95,1,3,normal
223.27,4190,5412591,66,1089,953.02,0,5,normal
122.75,4408,5309357,2274,295,1061.89,1,0,normal
267.31,4584,1660112,674,1021,788.28,0,5,normal
173.07,1468,7677379,1927,1159,783.93,1,0,normal
137.01,458,1611573,1919,2194,1294.94,0,3,normal
289.46,1209,6073238,1800,408,1001.03,0,5,normal
240.83,4419,2867662,1632,847,678.87,0,4,normal
190.67,134,1564828,2210,2269,944.47,0,0,normal
132.42,3737,3035223,1165,2104,1067.67,0,4,normal
44.74,1069,1300208,2453,1824,610.02,1,2,normal
245.24,964,607681,917,2256,1026.34,1,1,normal
132.34,3964,2123331,1952,642,846.47,0,2,normal
65.26,3975,6298642,711,1138,999.05,0,0,normal
66.15,1870,1201164,2147,1836,861.9,0,4,normal
145.55,896,5405592,2363,1722,1253.34,1,0,normal
158.42,1816,6034092,2124,1334,702.51,0,5,normal
252.42,3817,2719386,1621,926,1094.52,1,2,normal
68.44,549,1792583,2098,2100,866.0,0,4,normal
114.86,1430,7521140,1904,131,879.14,1,4,normal
44.63,4443,5477466,845,900,656.11,0,4,normal
8.16,1654,8569083,1511,1200,867.86,1,5,normal
5.7,3759,9851875,1951,855,1359.23,0,4,normal
34.3,371,8876211,1890,991,908.89,1,4,normal
277.42,3736,7860233,798,360,1032.69,0,0,normal
27.96,1888,1692542,906,1076,1172.16,1,2,normal
12.5,2841,9628295,1228,196,1063.16,1,2,normal
114.29,3675,2947371,1935,31,1358.69,0,4,normal
163.82,3516,3239410,790,2024,907.39,1,1,normal
242.46,4380,7376865,408,181,848.23,0,1,normal
191.86,1929,3640103,2461,1986,1434.82,0,4,normal
209.04,4752,4718485,255,1327,746.57,1,4,normal
154.71,703,3691206,2405,1493,1198.47,0,4,normal
163.87,3511,5245190,1500,1436,853.79,1,5,normal
146.92,3587,29585,1649,1163,960.74,1,2,normal
107.87,3020,7576539,924,2242,620.41,1,2,normal
214.7,3537,5257299,1087,1554,912.78,0,2,normal
183.17,2809,2766675,235,1544,797.74,1,0,normal
270.3,4046,8027713,2472,1212,1424.2,0,2,normal
227.33,1630,8829217,2073,893,1362.15,1,2,normal
204.18,4738,9324653,1149,1619,594.05,0,2,normal
186.3,1538,2276801,2481,2062,1307.97,1,3,normal
151.44,1069,7680363,1669,2425,1395.47,0,3,normal
132.74,1729,203638,1640,675,1327.91,1,3,normal
249.56,4762,2344730,2316,831,845.11,0,1,normal
9.4,1717,9031421,848,770,1416.19,0,2,normal
206.88,347,9410085,611,1523,1008.7,0,3,normal
10.75,3160,5759978,819,1840,802.27,1,5,normal
43.46,4404,5298940,1319,999,939.83,1,3,normal
101.24,679,5779783,2033,1989,909.43,0,4,normal
81.89,3961,9912900,2351,927,1026.0,0,5,normal
38.96,606,4195055,1696,1727,707.37,1,0,normal
293.86,4601,3141130,1934,1423,662.27,1,4,normal
71.32,395,7715525,953,909,967.64,0,4,normal
235.57,1780,166959,947,230,1453.03,1,4,normal
65.8,1254,7758604,1551,1825,684.18,1,2,normal
259.12,3962,8229831,979,2432,1121.46,0,1,normal
207.23,1955,1987877,631,78,1016.12,1,4,normal
238.99,3590,4885594,2417,1027,558.16,0,5,normal
254.11,4911,2884612,1077,1122,857.37,1,2,normal
36.58,295,4553604,2248,1774,1449.9,0,5,normal
149.9,4388,8599497,2350,274,878.74,1,0,normal
45.27,218,9457395,81,1480,741.97,0,2,normal
150.27,4609,9289974,823,382,1303.38,1,3,normal
228.59,3808,3656218,982,1996,1053.53,0,4,normal
246.07,200,5734170,2408,2306,1102.02,0,5,normal
174.68,4291,2863550,315,1173,1090.92,1,3,normal
65.95,2278,1864338,1331,1594,953.0,1,4,normal
108.53,3168,9790334,1104,1383,1187.16,1,0,normal
16.96,1506,3217139,1026,58,533.39,0,1,normal
179.67,2039,1641913,2481,1018,1261.05,0,1,normal
87.43,3144,8252657,726,1976,973.23,1,5,normal
266.09,853,735044,294,956,881.52,1,1,normal
128.27,1453,7558927,1783,1465,1343.6,1,1,normal
108.76,3728,5480667,763,466,1388.57,0,3,normal
66.6,3288,9301286,1677,216,612.41,1,4,normal
38.7,1413,6696927,1431,2357,1089.75,1,0,normal
265.59,1824,2842352,937,2376,887.51,0,3,normal
112.08,3462,1170820,1735,1183,586.76,0,0,normal
182.89,3055,7270233,691,660,935.45,0,1,normal
26.43,4873,4975619,386,458,967.45,1,3,normal
240.49,4797,2595968,1700,1768,623.81,0,5,normal
40.1,3750,7509587,171,2279,969.58,1,0,normal
123.98,2570,5798035,993,1574,1443.45,1,5,normal
88.35,4146,7839038,2006,284,1166.37,1,4,normal
156.53,4369,1831218,1000,1976,1217.95,0,3,normal
198.21,864,6431225,2130,436,1327.89,0,0,normal
157.04,2554,2954544,1683,814,567.89,0,1,normal
173.51,1911,5407085,574,2375,669.28,1,3,normal
176.92,2730,3068502,1819,2488,678.75,1,2,normal
269.62,3195,8369174,203,1381,760.55,0,2,normal
229.3,807,7773576,542,708,1130.49,0,0,normal
108.56,4749,760862,1802,1218,620.34,0,2,normal
222.13,3123,7145607,1132,2008,895.52,1,4,normal
5.46,1293,1101045,2108,620,629.22,0,1,normal
40.68,4170,512221,1189,675,1005.39,0,3,normal
167.77,275,2406244,491,1144,688.68,0,2,normal
269.39,2672,4096022,96,2073,757.18,1,4,normal
260.59,66,6491816,818,2261,1360.65,0,3,normal
258.14,3464,702601,1920,1705,1066.84,0,0,normal
37.96,4463,9386982,2381,1182,794.4,1,1,normal
64.4,2546,2430392,569,220,1211.61,1,4,normal
37.54,3461,298953,1545,845,1403.41,1,4,normal
37.42,3447,899204,1128,997,586.39,1,0,normal
195.41,1256,7008268,1507,2026,1160.71,1,3,normal
187.71,3927,3337519,1253,1734,762.61,1,3,normal
135.12,3663,7650276,1286,312,1219.8,1,5,normal
178.1,2790,3835953,671,205,583.06,1,5,normal
11.42,4603,5747381,2432,1059,1402.72,1,5,normal
68.39,1276,5147670,1704,1781,1123.1,0,5,normal
274.01,4682,5266443,2053,1500,708.48,1,0,normal
133.46,3032,8609533,502,947,1348.04,1,4,normal
273.88,2481,796049,992,268,588.98,1,1,normal
225.91,1930,3605125,206,2487,555.68,0,1,normal
266.08,3301,760007,802,469,593.11,0,1,normal
31.79,3960,4618714,1338,1611,1483.83,1,4,normal
86.77,3978,3906455,1088,973,934.48,0,3,normal
2.22,1386,2307354,1290,2442,790.54,0,1,normal
205.76,3986,5535719,355,1660,1195.05,1,3,normal
115.06,456,3995180,1233,1389,936.83,1,5,normal
70.66,4571,1939237,666,428,808.12,1,1,normal
131.66,1764,3756058,1719,1206,1410.82,0,3,normal
102.12,345,5993736,199,1922,1401.6,0,4,normal
100.36,723,1233655,2477,1517,772.63,1,4,normal
161.85,1315,8595487,1009,2276,733.49,0,2,normal
193.55,789,8113837,1103,1888,747.85,1,2,normal
63.09,535,6753121,299,1311,895.06,1,3,normal
132.17,4508,6283967,112,1389,1029.86,0,0,normal
201.7,2377,1051325,1412,2314,1125.65,0,4,normal
126.69,1670,1591905,2485,1960,1086.06,1,3,normal
205.63,3099,8468364,2265,1735,815.18,0,2,normal
286.99,3361,8403005,2423,1655,1085.28,0,2,normal
166.86,2054,5088598,748,2267,1468.86,1,2,normal
234.98,2611,8649961,429,1723,950.58,0,1,normal
3.88,1633,7969190,100,973,972.33,1,1,normal
283.83,2517,8161506,1815,1699,984.05,1,0,normal
91.18,2383,6025012,1666,1661,1031.12,1,0,normal
262.25,4629,8147539,1952,1436,1369.05,1,3,normal
129.87,3123,4612934,1446,1711,766.93,0,1,normal
245.01,1279,3856082,2497,807,1402.91,1,2,normal
95.16,225,5571973,88,978,699.36,1,5,normal
235.93,3997,6340763,2121,1438,565.76,0,1,normal
187.26,4071,221563,1299,1783,778.26,0,1,normal
50.63,2319,4069283,1858,1300,918.05,1,0,normal
195.49,3222,6068048,224,1124,1020.84,0,2,normal
297.19,3495,1771135,758,1648,599.65,1,2,normal
5.58,2272,4871765,2462,915,581.93,1,4,normal
96.6,4504,9581894,973,121,1143.06,0,3,normal
148.75,4624,6595212,1253,1100,1458.76,0,5,normal
255.91,2658,3940294,2500,38,920.05,0,0,normal
165.4,4400,1322399,1360,1137,577.33,0,0,normal
71.49,716,7191011,953,2069,715.52,1,4,normal
132.79,3225,4826868,1355,1612,992.35,0,4,normal
193.65,679,2769487,1341,1289,1263.7,1,3,normal
113.42,198,7179057,88,1761,1016.33,1,1,normal
265.03,3756,4360476,1304,819,1385.42,1,5,normal
252.76,4068,3410154,639,2240,876.86,1,4,normal
103.82,2053,3969720,667,361,1147.89,0,1,normal
109.92,4345,8181318,2255,601,1110.41,1,0,normal
105.26,894,2587186,2015,1565,1119.08,1,1,normal
174.18,4948,6019316,1675,727,1351.62,1,0,normal
262.73,3305,3230840,1621,316,735.04,1,4,normal
23.61,1950,6814512,704,1304,756.62,0,1,normal
24.43,307,1583337,854,699,767.64,0,1,normal
18.5,3115,4927849,1743,50,921.06,0,5,normal
221.53,2451,943012,38,2379,537.82,0,1,normal
240.15,1435,9088030,2207,2002,961.46,0,3,normal
147.81,2259,8606697,2010,1472,796.32,0,4,normal
135.05,4776,8519578,1007,1931,547.45,0,1,normal
41.98,2067,5753458,886,1029,777.56,1,1,normal
191.74,887,3778313,1249,374,1151.05,1,3,normal
223.75,1055,2804190,2231,557,871.9,0,2,normal
252.86,203,7086788,2087,899,845.26,0,2,normal
16.68,1954,4941812,609,1033,1307.22,1,4,normal
233.78,2199,148185,1644,1936,626.86,1,4,normal
134.62,2535,213295,1890,2173,1340.82,1,3,normal
255.74,4243,9719251,1130,1152,1258.54,0,2,normal
224.53,1193,5441204,375,1055,1112.93,1,3,normal
151.5,1730,7171808,1714,1162,1284.57,1,3,normal
129.9,1121,213820,604,1300,936.34,0,0,normal
216.84,1028,2015129,37,2460,807.1,1,2,normal
218.47,3998,7023935,1015,1336,1215.08,1,0,normal
273.69,992,9523776,997,133,901.5,0,3,normal
165.5,4377,3125241,1625,1805,1185.92,1,4,normal
283.35,1760,4794643,155,1358,600.78,1,5,normal
110.54,3836,8746370,2178,2040,502.72,1,0,normal
190.64,2062,8749661,1953,109,1192.36,1,2,normal
205.3,3098,6277339,973,1842,1102.5,0,1,normal
249.67,2278,8223138,1577,1301,1321.7,1,0,normal
88.82,3530,3522086,254,1043,707.5,0,2,normal
268.33,4192,9777812,475,1191,820.24,0,5,normal
152.72,4612,210977,701,1922,1416.72,1,3,normal
263.04,2683,1978466,637,1739,1472.19,0,2,normal
190.85,4144,9906007,27,2117,851.58,0,5,normal
162.52,414,1234696,1751,2343,1353.95,1,2,normal
110.16,4783,9327735,542,1987,536.58,1,3,normal
82.04,1411,2269227,2350,2342,573.42,0,1,normal
234.21,3046,9420858,2379,873,962.26,1,5,normal
140.65,3856,2470831,2408,864,1236.47,1,3,normal
122.03,2686,49010,2487,1960,558.48,0,4,normal
260.64,1733,4838033,116,811,1456.04,0,4,normal
107.46,4219,8256872,695,2217,1365.01,0,0,normal
165.44,4187,4806904,629,469,906.38,0,3,normal
159.06,3427,6101461,500,2405,735.91,0,5,normal
113.16,4114,6288618,417,1680,661.97,0,1,normal
251.93,4458,5812056,1404,406,1272.03,0,1,normal
118.93,4455,5040287,1251,490,993.72,1,0,normal
22.05,4509,8250755,2007,355,1236.04,0,5,normal
157.84,3758,410885,983,1649,509.46,0,2,normal
127.54,2982,335991,508,554,1194.25,1,4,normal
240.54,1333,455487,2380,295,1480.48,1,4,normal
85.26,599,3839446,1702,2249,1412.54,1,2,normal
44.16,623,3198095,2269,1704,1185.8,0,5,normal
76.21,3055,2528831,64,1368,1152.85,1,5,normal
173.62,3579,1050160,709,2220,588.33,0,0,normal
73.86,947,5102313,1963,237,511.53,1,1,normal
280.84,3442,2220649,1168,1002,739.44,0,5,normal
154.64,1846,9520345,2282,1269,957.67,0,4,normal
193.28,481,809305,1564,313,777.43,1,5,normal
263.37,1972,9970928,2053,596,662.54,0,3,normal
85.44,4274,7634376,111,1461,715.94,0,4,normal
265.98,2005,8856072,1582,2456,1273.22,1,3,normal
49.51,2078,1541211,2078,1446,773.08,1,5,normal
293.89,3824,2759079,472,806,1273.59,0,0,normal
103.25,1764,7164862,1801,1924,500.69,0,1,normal
256.25,566,6733698,886,2101,863.65,1,0,normal
57.62,4365,5111738,2065,2370,1357.37,1,2,normal
113.17,4881,4869414,1675,106,1078.68,0,4,normal
63.3,4250,462787,272,350,1348.97,0,4,normal
191.62,603,5474973,1857,2222,786.91,0,1,normal
243.23,2901,6837441,2228,515,930.56,1,0,normal
141.92,4695,5948089,2448,1683,574.88,1,4,normal
38.17,4519,4506685,817,1148,956.95,0,0,normal
272.06,2174,4081666,1300,452,905.19,0,1,normal
155.12,937,4481268,245,588,559.4,0,5,normal
108.61,2958,7275469,2038,2145,880.27,1,4,normal
209.43,59,2597945,1260,1648,1085.27,0,5,normal
186.13,4225,239235,1195,1377,1489.6,0,5,normal
224.71,1188,2333711,243,2384,1279.26,0,1,normal
64.59,3506,8938995,104,546,755.57,0,2,normal
128.72,2657,915325,1439,1151,1085.85,0,4,normal
203.63,146,103323,2308,679,964.36,1,4,normal
140.89,3362,6382108,2327,874,715.54,0,3,normal
262.31,738,4010164,432,242,899.56,1,5,normal
221.39,1235,7362276,804,2354,1191.53,1,1,normal
83.56,1258,1487244,1628,550,909.94,0,2,normal
272.34,4111,1719503,1098,1303,1392.17,0,3,normal
155.59,2953,7452806,232,545,765.23,0,5,normal
182.63,1583,7794158,1288,839,590.51,0,4,normal
35.31,2938,5179185,2329,1981,976.57,1,0,normal
168.94,3175,9531255,1233,146,548.63,0,1,normal
132.01,453,8693490,881,1675,837.16,0,5,normal
164.47,2556,3543763,664,2219,1009.15,1,0,normal
3.62,2111,654278,2211,1413,589.08,1,1,normal
48.07,4897,6548888,578,1795,1167.76,0,0,normal
244.4,3692,2544242,1456,2118,1206.58,0,3,normal
1.66,754,6318958,2401,1198,1304.66,0,3,normal
46.14,2354,8343812,2276,2092,534.7,0,2,normal
281.76,4107,2158172,388,1590,954.38,0,1,normal
232.35,3795,7043119,478,1470,845.91,0,5,normal
74.84,3134,1025258,2392,2044,875.62,1,5,normal
222.41,2320,1697888,1111,1649,1022.87,1,4,normal
14.14,3225,1787066,1466,756,898.27,1,3,normal
192.4,2056,7504441,972,2228,1230.33,0,1,normal
99.31,4918,4819290,1980,464,1125.58,0,5,normal
70.71,1972,8668464,713,661,971.25,0,4,normal
298.15,3071,5925160,106,900,1124.89,1,4,normal
194.02,4279,9558114,730,1126,1214.51,0,4,normal
130.72,940,9281475,921,570,1204.41,1,3,normal
134.14,2070,9150013,1468,1974,590.82,0,0,normal
232.49,1039,5336679,1799,1491,949.02,0,2,normal
276.36,4877,519254,1870,2083,712.43,1,5,normal
